TrialNum,BlockNum,ParticipantID,RT,Performance,MedPupil_Pat,MedPupil_Fdb,AUCPupil_Pat,AUCPupil_Fdb,MaxPupil_Pat,MaxPupil_Fdb,MeanGazeX_Pat,MeanGazeY_Pat,MeanGazeX_Fdb,MeanGazeY_Fdb
1,1,aa_54_24,1.893,1,0.71841160766909,0.0851577611753364,538.077848046354,-7.00324220771278,2.19109497160805,1.47684354009765,1021.93796203796,523.986213786214,1019.5199,484.177
2,1,aa_54_24,1.165,1,0.878732476041049,-0.247326746148233,812.57433140717,-404.348799585478,1.49779820956691,1.32702145549081,1082.10673469388,545.634387755102,1065.0128,534.8927
3,1,aa_54_24,1.083,1,-0.251043765437648,1.09433723608502,4.30007806045331,908.4256765092,1.41466604597137,1.92719214178953,994.192107892108,536.87972027972,1008.47097435897,526.277948717949
4,1,aa_54_24,0.994,1,0.737812914524833,-0.053320020699897,331.840851222776,38.5683063265565,1.62234348793582,1.90803038121141,1010.52027972028,526.405194805195,1020.29032258065,495.285913978495
5,1,aa_54_24,0.928,1,0.0954817692984335,0.441528187059244,183.587251700792,627.618467729557,1.18515985075801,3.08473380357267,984.737625754527,533.213782696177,1015.35674814028,467.121147715197
6,1,aa_54_24,0.879,1,0.500189726911727,0.583644049719787,437.299127076427,738.733640330731,1.2561877099965,2.18400341650964,1052.76786817714,494.513079299691,1024.61195097038,457.231767109295
7,1,aa_54_24,0.649,1,0.433436462103181,0.0964122643923122,452.828037177921,249.754730638997,1.38290248146068,2.84696458764553,1048.44035964036,503.796103896104,1027.14544349939,499.000364520049
8,1,aa_54_24,0.651,0,0.865026074045403,-0.320756942902925,842.780331672811,180.22011363642,1.58808027631372,2.35843708994539,1064.94165834166,530.619480519481,1039.09281828074,461.164417845484
9,1,aa_54_24,0.782,0,0.373072181289077,-0.979944993241698,239.616048103452,-868.086212666874,0.997541646457127,1.08325314167627,953.380592441267,553.60102145046,1022.95550611791,478.656840934372
10,1,aa_54_24,1.124,0,1.05461275079974,0.400258437611824,756.435328732703,202.339082137155,1.69514975179301,1.72121811811251,1023.88311688312,525.78981018981,1026.55995550612,504.181535038932
